+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for switzerland collected on :2020-04-10                       |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-25 |          1.0           |            0            |        0        |        0         |
| 2020-02-26 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-27 |          8.0           |            0            |       6.0       |        0         |
| 2020-02-28 |          13.0          |            0            |       5.0       |        0         |
| 2020-02-29 |          18.0          |            0            |       5.0       |        0         |
| 2020-03-01 |          22.0          |            0            |       4.0       |        0         |
| 2020-03-02 |          40.0          |            0            |       18.0      |        0         |
| 2020-03-03 |          55.0          |            0            |       15.0      |        0         |
| 2020-03-04 |          72.0          |            0            |       17.0      |        0         |
| 2020-03-05 |         102.0          |           1.0           |       30.0      |        0         |
| 2020-03-06 |         198.0          |           1.0           |       96.0      |       0.0        |
| 2020-03-07 |         245.0          |           1.0           |       47.0      |       0.0        |
| 2020-03-08 |         352.0          |           2.0           |      107.0      |       1.0        |
| 2020-03-09 |         362.0          |           2.0           |       10.0      |       0.0        |
| 2020-03-10 |         480.0          |           4.0           |      118.0      |       2.0        |
| 2020-03-11 |         640.0          |           6.0           |      160.0      |       2.0        |
| 2020-03-12 |         858.0          |           6.0           |      218.0      |       0.0        |
| 2020-03-13 |         1139.0         |           7.0           |      281.0      |       1.0        |
| 2020-03-14 |         1359.0         |           12.0          |      220.0      |       5.0        |
| 2020-03-15 |         2217.0         |           14.0          |      858.0      |       2.0        |
| 2020-03-16 |         2352.0         |           21.0          |      135.0      |       7.0        |
| 2020-03-17 |         2650.0         |           27.0          |      298.0      |       6.0        |
| 2020-03-18 |         3070.0         |           31.0          |      420.0      |       4.0        |
| 2020-03-19 |         3888.0         |           41.0          |      818.0      |       10.0       |
| 2020-03-20 |         5369.0         |           53.0          |      1481.0     |       12.0       |
| 2020-03-21 |         6113.0         |           56.0          |      744.0      |       3.0        |
| 2020-03-22 |         7014.0         |           60.0          |      901.0      |       4.0        |
| 2020-03-23 |         8060.0         |           66.0          |      1046.0     |       6.0        |
| 2020-03-24 |         8836.0         |           86.0          |      776.0      |       20.0       |
| 2020-03-25 |         9765.0         |          103.0          |      929.0      |       17.0       |
| 2020-03-26 |        10714.0         |          171.0          |      949.0      |       68.0       |
| 2020-03-27 |        12161.0         |          211.0          |      1447.0     |       40.0       |
| 2020-03-28 |        13213.0         |          235.0          |      1052.0     |       24.0       |
| 2020-03-29 |        14336.0         |          257.0          |      1123.0     |       22.0       |
| 2020-03-30 |        15475.0         |          295.0          |      1139.0     |       38.0       |
| 2020-03-31 |        16176.0         |          373.0          |      701.0      |       78.0       |
| 2020-04-01 |        17139.0         |          378.0          |      963.0      |       5.0        |
| 2020-04-02 |        18267.0         |          432.0          |      1128.0     |       54.0       |
| 2020-04-03 |        19303.0         |          484.0          |      1036.0     |       52.0       |
| 2020-04-04 |        20278.0         |          540.0          |      975.0      |       56.0       |
| 2020-04-05 |        21100.0         |          559.0          |      822.0      |       19.0       |
| 2020-04-06 |        21657.0         |          756.0          |      557.0      |      197.0       |
| 2020-04-07 |        22253.0         |          821.0          |      596.0      |       65.0       |
| 2020-04-08 |        23248.0         |          893.0          |      995.0      |       72.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
