+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for russia collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-05 |          4.0           |            0            |        0        |        0         |
| 2020-03-06 |          10.0          |            0            |       6.0       |        0         |
| 2020-03-07 |          14.0          |            0            |       4.0       |        0         |
| 2020-03-08 |          17.0          |            0            |       3.0       |        0         |
| 2020-03-09 |          20.0          |            0            |       3.0       |        0         |
| 2020-03-10 |          20.0          |            0            |       0.0       |        0         |
| 2020-03-11 |          28.0          |            0            |       8.0       |        0         |
| 2020-03-12 |          34.0          |            0            |       6.0       |        0         |
| 2020-03-13 |          45.0          |            0            |       11.0      |        0         |
| 2020-03-14 |          59.0          |            0            |       14.0      |        0         |
| 2020-03-15 |          63.0          |            0            |       4.0       |        0         |
| 2020-03-16 |          93.0          |            0            |       30.0      |        0         |
| 2020-03-17 |         114.0          |            0            |       21.0      |        0         |
| 2020-03-18 |         147.0          |            0            |       33.0      |        0         |
| 2020-03-19 |         199.0          |            0            |       52.0      |        0         |
| 2020-03-20 |         253.0          |            0            |       54.0      |        0         |
| 2020-03-21 |         306.0          |            0            |       53.0      |        0         |
| 2020-03-22 |         367.0          |            0            |       61.0      |        0         |
| 2020-03-23 |         438.0          |            0            |       71.0      |        0         |
| 2020-03-24 |         495.0          |            0            |       57.0      |        0         |
| 2020-03-25 |         658.0          |           2.0           |      163.0      |        0         |
| 2020-03-26 |         840.0          |           2.0           |      182.0      |       0.0        |
| 2020-03-27 |         1036.0         |           3.0           |      196.0      |       1.0        |
| 2020-03-28 |         1264.0         |           4.0           |      228.0      |       1.0        |
| 2020-03-29 |         1534.0         |           8.0           |      270.0      |       4.0        |
| 2020-03-30 |         1836.0         |           9.0           |      302.0      |       1.0        |
| 2020-03-31 |         2337.0         |           17.0          |      501.0      |       8.0        |
| 2020-04-01 |         2777.0         |           24.0          |      440.0      |       7.0        |
| 2020-04-02 |         3548.0         |           30.0          |      771.0      |       6.0        |
| 2020-04-03 |         4149.0         |           34.0          |      601.0      |       4.0        |
| 2020-04-04 |         4731.0         |           43.0          |      582.0      |       9.0        |
| 2020-04-05 |         5389.0         |           45.0          |      658.0      |       2.0        |
| 2020-04-06 |         6343.0         |           47.0          |      954.0      |       2.0        |
| 2020-04-07 |         7497.0         |           58.0          |      1154.0     |       11.0       |
| 2020-04-08 |         8672.0         |           63.0          |      1175.0     |       5.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
