+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for hungary collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-04 |          2.0           |            0            |        0        |        0         |
| 2020-03-05 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-06 |          4.0           |            0            |       1.0       |        0         |
| 2020-03-07 |          7.0           |            0            |       3.0       |        0         |
| 2020-03-08 |          9.0           |            0            |       2.0       |        0         |
| 2020-03-09 |          12.0          |            0            |       3.0       |        0         |
| 2020-03-10 |          12.0          |            0            |       0.0       |        0         |
| 2020-03-11 |          13.0          |            0            |       1.0       |        0         |
| 2020-03-12 |          16.0          |            0            |       3.0       |        0         |
| 2020-03-13 |          19.0          |            0            |       3.0       |        0         |
| 2020-03-14 |          30.0          |            0            |       11.0      |        0         |
| 2020-03-15 |          32.0          |           1.0           |       2.0       |        0         |
| 2020-03-16 |          39.0          |           1.0           |       7.0       |       0.0        |
| 2020-03-17 |          50.0          |           1.0           |       11.0      |       0.0        |
| 2020-03-18 |          58.0          |           1.0           |       8.0       |       0.0        |
| 2020-03-19 |          73.0          |           1.0           |       15.0      |       0.0        |
| 2020-03-20 |          85.0          |           4.0           |       12.0      |       3.0        |
| 2020-03-21 |         103.0          |           4.0           |       18.0      |       0.0        |
| 2020-03-22 |         131.0          |           6.0           |       28.0      |       2.0        |
| 2020-03-23 |         167.0          |           8.0           |       36.0      |       2.0        |
| 2020-03-24 |         187.0          |           9.0           |       20.0      |       1.0        |
| 2020-03-25 |         226.0          |           10.0          |       39.0      |       1.0        |
| 2020-03-26 |         261.0          |           10.0          |       35.0      |       0.0        |
| 2020-03-27 |         300.0          |           10.0          |       39.0      |       0.0        |
| 2020-03-28 |         343.0          |           10.0          |       43.0      |       0.0        |
| 2020-03-29 |         408.0          |           13.0          |       65.0      |       3.0        |
| 2020-03-30 |         447.0          |           15.0          |       39.0      |       2.0        |
| 2020-03-31 |         492.0          |           16.0          |       45.0      |       1.0        |
| 2020-04-01 |         525.0          |           20.0          |       33.0      |       4.0        |
| 2020-04-02 |         585.0          |           21.0          |       60.0      |       1.0        |
| 2020-04-03 |         623.0          |           26.0          |       38.0      |       5.0        |
| 2020-04-04 |         678.0          |           32.0          |       55.0      |       6.0        |
| 2020-04-05 |         733.0          |           34.0          |       55.0      |       2.0        |
| 2020-04-06 |         744.0          |           38.0          |       11.0      |       4.0        |
| 2020-04-07 |         817.0          |           47.0          |       73.0      |       9.0        |
| 2020-04-08 |         895.0          |           58.0          |       78.0      |       11.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
