+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for norway collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020/02/26 |          1.0           |            0            |        0        |        0         |
| 2020/02/27 |          4.0           |            0            |       3.0       |        0         |
| 2020/02/28 |          7.0           |            0            |       3.0       |        0         |
| 2020/02/29 |          15.0          |            0            |       8.0       |        0         |
| 2020/03/01 |          19.0          |            0            |       4.0       |        0         |
| 2020/03/02 |          25.0          |            0            |       6.0       |        0         |
| 2020/03/03 |          33.0          |            0            |       8.0       |        0         |
| 2020/03/04 |          54.0          |            0            |       21.0      |        0         |
| 2020/03/05 |          84.0          |            0            |       30.0      |        0         |
| 2020/03/06 |         111.0          |            0            |       27.0      |        0         |
| 2020/03/07 |         145.0          |            0            |       34.0      |        0         |
| 2020/03/08 |         167.0          |            0            |       22.0      |        0         |
| 2020/03/09 |         190.0          |            0            |       23.0      |        0         |
| 2020/03/10 |         275.0          |            0            |       85.0      |        0         |
| 2020/03/11 |         489.0          |            0            |      214.0      |        0         |
| 2020/03/12 |         621.0          |           1.0           |      132.0      |        0         |
| 2020-03-13 |         750.0          |           1.0           |      129.0      |       0.0        |
| 2020-03-14 |         907.0          |           2.0           |      157.0      |       1.0        |
| 2020-03-15 |         1077.0         |           2.0           |      170.0      |       0.0        |
| 2020-03-16 |         1169.0         |           2.0           |       92.0      |       0.0        |
| 2020-03-17 |         1308.0         |           2.0           |      139.0      |       0.0        |
| 2020-03-18 |         1423.0         |           3.0           |      115.0      |       1.0        |
| 2020-03-19 |         1552.0         |           6.0           |      129.0      |       3.0        |
| 2020-03-20 |         1742.0         |           6.0           |      190.0      |       0.0        |
| 2020-03-21 |         1926.0         |           7.0           |      184.0      |       1.0        |
| 2020-03-22 |         2132.0         |           7.0           |      206.0      |       0.0        |
| 2020-03-23 |         2371.0         |           10.0          |      239.0      |       3.0        |
| 2020-03-24 |         2566.0         |           10.0          |      195.0      |       0.0        |
| 2020-03-25 |         2830.0         |           14.0          |      264.0      |       4.0        |
| 2020-03-26 |         3156.0         |           14.0          |      326.0      |       0.0        |
| 2020-03-27 |         3581.0         |           16.0          |      425.0      |       2.0        |
| 2020-03-28 |         3845.0         |           20.0          |      264.0      |       4.0        |
| 2020-03-29 |         4102.0         |           22.0          |      257.0      |       2.0        |
| 2020-03-30 |         4226.0         |           27.0          |      124.0      |       5.0        |
| 2020-03-31 |         4447.0         |           28.0          |      221.0      |       1.0        |
| 2020-04-01 |         4655.0         |           32.0          |      208.0      |       4.0        |
| 2020-04-02 |         4935.0         |           42.0          |      280.0      |       10.0       |
| 2020-04-03 |         5208.0         |           44.0          |      273.0      |       2.0        |
| 2020-04-04 |         5510.0         |           50.0          |      302.0      |       6.0        |
| 2020-04-05 |         5640.0         |           58.0          |      130.0      |       8.0        |
| 2020-04-06 |         5755.0         |           59.0          |      115.0      |       1.0        |
| 2020-04-07 |         5863.0         |           69.0          |      108.0      |       10.0       |
| 2020-04-08 |         6010.0         |           80.0          |      147.0      |       11.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
