+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for indonesia collected on :2020-04-10                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-02 |          2.0           |            0            |        0        |        0         |
| 2020-03-03 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-04 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-05 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-06 |          4.0           |            0            |       2.0       |        0         |
| 2020-03-07 |          4.0           |            0            |       0.0       |        0         |
| 2020-03-08 |          6.0           |            0            |       2.0       |        0         |
| 2020-03-09 |          19.0          |            0            |       13.0      |        0         |
| 2020-03-10 |          27.0          |            0            |       8.0       |        0         |
| 2020-03-11 |          34.0          |           1.0           |       7.0       |        0         |
| 2020-03-12 |          34.0          |           1.0           |       0.0       |       0.0        |
| 2020-03-13 |          69.0          |           4.0           |       35.0      |       3.0        |
| 2020-03-14 |          96.0          |           5.0           |       27.0      |       1.0        |
| 2020-03-15 |         117.0          |           5.0           |       21.0      |       0.0        |
| 2020-03-16 |         134.0          |           5.0           |       17.0      |       0.0        |
| 2020-03-17 |         172.0          |           7.0           |       38.0      |       2.0        |
| 2020-03-18 |         227.0          |           19.0          |       55.0      |       12.0       |
| 2020-03-19 |         308.0          |           25.0          |       81.0      |       6.0        |
| 2020-03-20 |         369.0          |           32.0          |       61.0      |       7.0        |
| 2020-03-21 |         450.0          |           38.0          |       81.0      |       6.0        |
| 2020-03-22 |         514.0          |           48.0          |       64.0      |       10.0       |
| 2020-03-23 |         579.0          |           49.0          |       65.0      |       1.0        |
| 2020-03-24 |         686.0          |           55.0          |      107.0      |       6.0        |
| 2020-03-25 |         790.0          |           58.0          |      104.0      |       3.0        |
| 2020-03-26 |         893.0          |           78.0          |      103.0      |       20.0       |
| 2020-03-27 |         1046.0         |           87.0          |      153.0      |       9.0        |
| 2020-03-28 |         1155.0         |          102.0          |      109.0      |       15.0       |
| 2020-03-29 |         1285.0         |          114.0          |      130.0      |       12.0       |
| 2020-03-30 |         1414.0         |          122.0          |      129.0      |       8.0        |
| 2020-03-31 |         1528.0         |          136.0          |      114.0      |       14.0       |
| 2020-04-01 |         1677.0         |          157.0          |      149.0      |       21.0       |
| 2020-04-02 |         1790.0         |          170.0          |      113.0      |       13.0       |
| 2020-04-03 |         1986.0         |          181.0          |      196.0      |       11.0       |
| 2020-04-04 |         2092.0         |          191.0          |      106.0      |       10.0       |
| 2020-04-05 |         2273.0         |          198.0          |      181.0      |       7.0        |
| 2020-04-06 |         2491.0         |          209.0          |      218.0      |       11.0       |
| 2020-04-07 |         2738.0         |          221.0          |      247.0      |       12.0       |
| 2020-04-08 |         2956.0         |          240.0          |      218.0      |       19.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
