+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for netherlands collected on :2020-05-13                       |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-27 |          1.0           |            0            |        0        |        0         |
| 2020-02-28 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-29 |          6.0           |            0            |       4.0       |        0         |
| 2020-03-01 |          9.0           |            0            |       3.0       |        0         |
| 2020-03-02 |          19.0          |            0            |       10.0      |        0         |
| 2020-03-03 |          24.0          |            0            |       5.0       |        0         |
| 2020-03-04 |          38.0          |            0            |       14.0      |        0         |
| 2020-03-05 |          82.0          |            0            |       44.0      |        0         |
| 2020-03-06 |         128.0          |           1.0           |       46.0      |        0         |
| 2020-03-07 |         188.0          |           1.0           |       60.0      |       0.0        |
| 2020-03-08 |         264.0          |           3.0           |       76.0      |       2.0        |
| 2020-03-09 |         321.0          |           4.0           |       57.0      |       1.0        |
| 2020-03-10 |         382.0          |           4.0           |       61.0      |       0.0        |
| 2020-03-11 |         503.0          |           5.0           |      121.0      |       1.0        |
| 2020-03-12 |         614.0          |           5.0           |      111.0      |       0.0        |
| 2020-03-13 |         804.0          |           10.0          |      190.0      |       5.0        |
| 2020-03-14 |         959.0          |           12.0          |      155.0      |       2.0        |
| 2020-03-15 |         1135.0         |           20.0          |      176.0      |       8.0        |
| 2020-03-16 |         1413.0         |           24.0          |      278.0      |       4.0        |
| 2020-03-17 |         1705.0         |           43.0          |      292.0      |       19.0       |
| 2020-03-18 |         2051.0         |           58.0          |      346.0      |       15.0       |
| 2020-03-19 |         2460.0         |           76.0          |      409.0      |       18.0       |
| 2020-03-20 |         2994.0         |          106.0          |      534.0      |       30.0       |
| 2021-03-21 |         3631.0         |          136.0          |      637.0      |       30.0       |
| 2021-03-22 |         4204.0         |          179.0          |      573.0      |       43.0       |
| 2021-03-23 |         4749.0         |          213.0          |      545.0      |       34.0       |
| 2021-03-24 |         5560.0         |          276.0          |      811.0      |       63.0       |
| 2021-03-25 |         6412.0         |          356.0          |      852.0      |       80.0       |
| 2020-03-26 |         7431.0         |          434.0          |      1019.0     |       78.0       |
| 2020-03-27 |         8603.0         |          546.0          |      1172.0     |      112.0       |
| 2020-03-28 |         9762.0         |          639.0          |      1159.0     |       93.0       |
| 2020-03-29 |        10866.0         |          771.0          |      1104.0     |      132.0       |
| 2020-03-30 |        11750.0         |          864.0          |      884.0      |       93.0       |
| 2020-03-31 |        12595.0         |          1039.0         |      845.0      |      175.0       |
| 2020-04-01 |        13614.0         |          1173.0         |      1019.0     |      134.0       |
| 2020-04-02 |        14697.0         |          1339.0         |      1083.0     |      166.0       |
| 2020-04-03 |        15723.0         |          1487.0         |      1026.0     |      148.0       |
| 2020-04-04 |        16627.0         |          1651.0         |      904.0      |      164.0       |
| 2020-04-05 |        17851.0         |          1766.0         |      1224.0     |      115.0       |
| 2020-04-06 |        18803.0         |          1867.0         |      952.0      |      101.0       |
| 2020-04-07 |        19580.0         |          2101.0         |      777.0      |      234.0       |
| 2020-04-08 |        20549.0         |          2248.0         |      969.0      |      147.0       |
| 2020-04-09 |        21762.0         |          2396.0         |      1213.0     |      148.0       |
| 2020-04-10 |        23097.0         |          2511.0         |      1335.0     |      115.0       |
| 2020-04-11 |        24413.0         |          2643.0         |      1316.0     |      132.0       |
| 2020-04-12 |        25587.0         |          2737.0         |      1174.0     |       94.0       |
| 2020-04-13 |        26551.0         |          2823.0         |      964.0      |       86.0       |
| 2020-04-14 |        27419.0         |          2945.0         |      868.0      |      122.0       |
| 2020-04-15 |        28153.0         |          3134.0         |      734.0      |      189.0       |
| 2020-04-16 |        29214.0         |          3315.0         |      1061.0     |      181.0       |
| 2020-04-17 |        30449.0         |          3459.0         |      1235.0     |      144.0       |
| 2020-04-18 |        31589.0         |          3601.0         |      1140.0     |      142.0       |
| 2020-04-19 |        32655.0         |          3684.0         |      1066.0     |       83.0       |
| 2020-04-20 |        33405.0         |          3751.0         |      750.0      |       67.0       |
| 2020-04-21 |        34134.0         |          3916.0         |      729.0      |      165.0       |
| 2020-04-22 |        34842.0         |          4054.0         |      708.0      |      138.0       |
| 2020-04-23 |        35729.0         |          4177.0         |      887.0      |      123.0       |
| 2020-04-24 |        36535.0         |          4289.0         |      806.0      |      112.0       |
| 2020-04-25 |        37190.0         |          4409.0         |      655.0      |      120.0       |
| 2020-04-26 |        37845.0         |          4475.0         |      655.0      |       66.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
