+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for malaysia collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-25 |          3.0           |            0            |        0        |        0         |
| 2020-01-26 |          4.0           |            0            |       1.0       |        0         |
| 2020-01-27 |          4.0           |            0            |       0.0       |        0         |
| 2020-01-28 |          4.0           |            0            |       0.0       |        0         |
| 2020-01-29 |          7.0           |            0            |       3.0       |        0         |
| 2020-01-30 |          8.0           |            0            |       1.0       |        0         |
| 2020-01-31 |          8.0           |            0            |       0.0       |        0         |
| 2020-02-01 |          8.0           |            0            |       0.0       |        0         |
| 2020-02-02 |          8.0           |            0            |       0.0       |        0         |
| 2020-02-03 |          8.0           |            0            |       0.0       |        0         |
| 2020-02-04 |          10.0          |            0            |       2.0       |        0         |
| 2020-02-05 |          12.0          |            0            |       2.0       |        0         |
| 2020-02-06 |          12.0          |            0            |       0.0       |        0         |
| 2020-02-07 |          12.0          |            0            |       0.0       |        0         |
| 2020-02-08 |          16.0          |            0            |       4.0       |        0         |
| 2020-02-09 |          16.0          |            0            |       0.0       |        0         |
| 2020-02-10 |          18.0          |            0            |       2.0       |        0         |
| 2020-02-11 |          18.0          |            0            |       0.0       |        0         |
| 2020-02-12 |          18.0          |            0            |       0.0       |        0         |
| 2020-02-13 |          19.0          |            0            |       1.0       |        0         |
| 2020-02-14 |          19.0          |            0            |       0.0       |        0         |
| 2020-02-15 |          22.0          |            0            |       3.0       |        0         |
| 2020-02-16 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-17 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-18 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-19 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-20 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-21 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-22 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-23 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-24 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-25 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-26 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-27 |          23.0          |            0            |       1.0       |        0         |
| 2020-02-28 |          23.0          |            0            |       0.0       |        0         |
| 2020-02-29 |          25.0          |            0            |       2.0       |        0         |
| 2020-03-01 |          29.0          |            0            |       4.0       |        0         |
