+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for saudiarabia collected on :2020-05-13                       |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-02 |          1.0           |            0            |        0        |        0         |
| 2020-03-04 |          2.0           |            0            |       1.0       |        0         |
| 2020-03-05 |          5.0           |            0            |       3.0       |        0         |
| 2020-03-07 |          7.0           |            0            |       2.0       |        0         |
| 2020-03-08 |          11.0          |            0            |       4.0       |        0         |
| 2020-03-09 |          15.0          |            0            |       4.0       |        0         |
| 2020-03-10 |          20.0          |            0            |       5.0       |        0         |
| 2020-03-11 |          45.0          |            0            |       25.0      |        0         |
| 2020-03-12 |          62.0          |            0            |       17.0      |        0         |
| 2020-03-13 |          86.0          |            0            |       24.0      |        0         |
| 2020-03-14 |         103.0          |            0            |       17.0      |        0         |
| 2020-03-15 |         118.0          |            0            |       15.0      |        0         |
| 2020-03-16 |         133.0          |            0            |       15.0      |        0         |
| 2020-03-17 |         171.0          |            0            |       38.0      |        0         |
| 2020-03-18 |         238.0          |            0            |       67.0      |        0         |
| 2020-03-19 |         274.0          |            0            |       36.0      |        0         |
| 2020-03-20 |         344.0          |            0            |       70.0      |        0         |
| 2020-03-21 |         392.0          |            0            |       48.0      |        0         |
| 2020-03-22 |         511.0          |            0            |      119.0      |        0         |
| 2020-03-23 |         562.0          |           1.0           |       51.0      |        0         |
| 2020-03-24 |         767.0          |           1.0           |      205.0      |       0.0        |
| 2020-03-25 |         900.0          |           1.0           |      133.0      |       0.0        |
| 2020-03-26 |         1012.0         |           2.0           |      112.0      |       1.0        |
| 2020-03-27 |         1104.0         |           3.0           |       92.0      |       1.0        |
| 2020-03-28 |         1203.0         |           4.0           |       99.0      |       1.0        |
| 2020-03-29 |         1299.0         |           8.0           |       96.0      |       4.0        |
| 2020-03-30 |         1453.0         |           8.0           |      154.0      |       0.0        |
| 2020-03-31 |         1563.0         |           10.0          |      110.0      |       2.0        |
| 2020-04-01 |         1720.0         |           16.0          |      157.0      |       6.0        |
| 2020-04-02 |         1885.0         |           21.0          |      165.0      |       5.0        |
| 2020-04-03 |         2039.0         |           25.0          |      154.0      |       4.0        |
| 2020-04-04 |         2179.0         |           29.0          |      140.0      |       4.0        |
| 2020-04-05 |         2385.0         |           34.0          |      206.0      |       5.0        |
| 2020-04-06 |         2523.0         |           38.0          |      138.0      |       4.0        |
| 2020-04-07 |         2795.0         |           41.0          |      272.0      |       3.0        |
| 2020-04-08 |         2932.0         |           41.0          |      137.0      |       0.0        |
| 2020-04-09 |         3287.0         |           44.0          |      355.0      |       3.0        |
| 2020-04-10 |         3651.0         |           47.0          |      364.0      |       3.0        |
| 2020-04-11 |         4033.0         |           52.0          |      382.0      |       5.0        |
| 2020-04-12 |         4462.0         |           59.0          |      429.0      |       7.0        |
| 2020-04-13 |         4934.0         |           65.0          |      472.0      |       6.0        |
| 2020-04-14 |         5369.0         |           73.0          |      435.0      |       8.0        |
| 2020-04-15 |         5862.0         |           79.0          |      493.0      |       6.0        |
| 2020-04-16 |         6380.0         |           86.0          |      518.0      |       7.0        |
| 2020-04-17 |         7142.0         |           87.0          |      762.0      |       1.0        |
| 2020-04-18 |         8274.0         |           92.0          |      1132.0     |       5.0        |
| 2020-04-19 |         9362.0         |           97.0          |      1088.0     |       5.0        |
| 2020-04-20 |        10484.0         |          103.0          |      1122.0     |       6.0        |
| 2020-04-21 |        11631.0         |          109.0          |      1147.0     |       6.0        |
| 2020-04-22 |        12772.0         |          114.0          |      1141.0     |       5.0        |
| 2020-04-23 |        13930.0         |          121.0          |      1158.0     |       7.0        |
| 2020-04-24 |        15102.0         |          127.0          |      1172.0     |       6.0        |
| 2020-04-25 |        16299.0         |          136.0          |      1197.0     |       9.0        |
| 2020-04-26 |        17522.0         |          139.0          |      1223.0     |       3.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
