+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for iceland collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-28 |          1.0           |            0            |        0        |        0         |
| 2020-02-29 |          1.0           |            0            |       0.0       |        0         |
| 2020-03-01 |          3.0           |            0            |       2.0       |        0         |
| 2020-03-02 |          9.0           |            0            |       6.0       |        0         |
| 2020-03-03 |          16.0          |            0            |       7.0       |        0         |
| 2020-03-04 |          26.0          |            0            |       10.0      |        0         |
| 2020-03-05 |          37.0          |            0            |       11.0      |        0         |
| 2020-03-06 |          45.0          |            0            |       8.0       |        0         |
| 2020-03-07 |          50.0          |            0            |       5.0       |        0         |
| 2020-03-08 |          58.0          |            0            |       8.0       |        0         |
| 2020-03-09 |          65.0          |            0            |       7.0       |        0         |
| 2020-03-10 |          81.0          |            0            |       16.0      |        0         |
| 2020-03-11 |          90.0          |            0            |       9.0       |        0         |
| 2020-03-12 |         113.0          |            0            |       23.0      |        0         |
| 2020-03-13 |         134.0          |            0            |       21.0      |        0         |
| 2020-03-14 |         161.0          |            0            |       27.0      |        0         |
| 2020-03-15 |         180.0          |            0            |       19.0      |        0         |
| 2020-03-16 |         199.0          |            0            |       19.0      |        0         |
| 2020-03-17 |         250.0          |           1.0           |       51.0      |        0         |
| 2020-03-18 |         330.0          |           1.0           |       80.0      |       0.0        |
| 2020-03-19 |         409.0          |           1.0           |       79.0      |       0.0        |
| 2020-03-20 |         473.0          |           1.0           |       64.0      |       0.0        |
| 2020-03-21 |         568.0          |           1.0           |       95.0      |       0.0        |
| 2020-03-22 |         588.0          |           1.0           |       20.0      |       0.0        |
| 2020-03-23 |         648.0          |           1.0           |       60.0      |       0.0        |
| 2020-03-24 |         737.0          |           2.0           |       89.0      |       1.0        |
| 2020-03-25 |         802.0          |           2.0           |       65.0      |       0.0        |
| 2020-03-26 |         890.0          |           2.0           |       88.0      |       0.0        |
| 2020-03-27 |         963.0          |           2.0           |       73.0      |       0.0        |
| 2020-03-28 |         1020.0         |           2.0           |       57.0      |       0.0        |
| 2020-03-29 |         1086.0         |           2.0           |       66.0      |       0.0        |
| 2020-03-30 |         1135.0         |           2.0           |       49.0      |       0.0        |
| 2020-03-31 |         1220.0         |           2.0           |       85.0      |       0.0        |
| 2020-04-01 |         1319.0         |           4.0           |       99.0      |       2.0        |
| 2020-04-02 |         1364.0         |           4.0           |       45.0      |       0.0        |
| 2020-04-03 |         1417.0         |           4.0           |       53.0      |       0.0        |
| 2020-04-04 |         1486.0         |           4.0           |       69.0      |       0.0        |
| 2020-04-05 |         1562.0         |           6.0           |       76.0      |       2.0        |
| 2020-04-06 |         1586.0         |           6.0           |       24.0      |       0.0        |
| 2020-04-07 |         1616.0         |           6.0           |       30.0      |       0.0        |
| 2020-04-08 |         1648.0         |           6.0           |       32.0      |       0.0        |
| 2020-04-09 |         1675.0         |           7.0           |       27.0      |       1.0        |
| 2020-04-10 |         1689.0         |           8.0           |       14.0      |       1.0        |
| 2020-04-11 |         1701.0         |           8.0           |       12.0      |       0.0        |
| 2020-04-12 |         1711.0         |           8.0           |       10.0      |       0.0        |
| 2020-04-13 |         1720.0         |           8.0           |       9.0       |       0.0        |
| 2020-04-14 |         1727.0         |           8.0           |       7.0       |       0.0        |
| 2020-04-15 |         1739.0         |           8.0           |       12.0      |       0.0        |
| 2020-04-16 |         1754.0         |           9.0           |       15.0      |       1.0        |
| 2020-04-17 |         1760.0         |           9.0           |       6.0       |       0.0        |
| 2020-04-18 |         1771.0         |           9.0           |       11.0      |       0.0        |
| 2020-04-19 |         1773.0         |           9.0           |       2.0       |       0.0        |
| 2020-04-20 |         1778.0         |           10.0          |       5.0       |       1.0        |
| 2020-04-21 |         1785.0         |           10.0          |       7.0       |       0.0        |
| 2020-04-22 |         1789.0         |           10.0          |       4.0       |       0.0        |
| 2020-04-23 |         1789.0         |           10.0          |       0.0       |       0.0        |
| 2020-04-24 |         1790.0         |           10.0          |       1.0       |       0.0        |
| 2020-04-25 |         1792.0         |           10.0          |       2.0       |       0.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
