+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for kuwait collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-24 |          5.0           |            0            |        0        |        0         |
| 2020-02-25 |          11.0          |            0            |       6.0       |        0         |
| 2020-02-26 |          26.0          |            0            |       15.0      |        0         |
| 2020-02-27 |          43.0          |            0            |       17.0      |        0         |
| 2020-02-28 |          45.0          |            0            |       2.0       |        0         |
| 2020-02-29 |          45.0          |            0            |       0.0       |        0         |
| 2020-03-01 |          46.0          |            0            |       1.0       |        0         |
| 2020-03-02 |          56.0          |            0            |       10.0      |        0         |
| 2020-03-03 |          56.0          |            0            |       0.0       |        0         |
| 2020-03-04 |          56.0          |            0            |       0.0       |        0         |
| 2020-03-05 |          58.0          |            0            |       2.0       |        0         |
| 2020-03-06 |          58.0          |            0            |       0.0       |        0         |
| 2020-03-07 |          61.0          |            0            |       3.0       |        0         |
| 2020-03-08 |          64.0          |            0            |       3.0       |        0         |
| 2020-03-09 |          65.0          |            0            |       1.0       |        0         |
| 2020-03-10 |          69.0          |            0            |       4.0       |        0         |
| 2020-03-11 |          72.0          |            0            |       3.0       |        0         |
| 2020-03-12 |          80.0          |            0            |       8.0       |        0         |
| 2020-03-13 |         100.0          |            0            |       20.0      |        0         |
| 2020-03-14 |         104.0          |            0            |       4.0       |        0         |
| 2020-03-15 |         112.0          |            0            |       8.0       |        0         |
| 2020-03-16 |         123.0          |            0            |       11.0      |        0         |
| 2020-03-17 |         130.0          |            0            |       7.0       |        0         |
| 2020-03-18 |         142.0          |            0            |       12.0      |        0         |
| 2020-03-19 |         148.0          |            0            |       6.0       |        0         |
| 2020-03-20 |         159.0          |            0            |       11.0      |        0         |
| 2020-03-21 |         176.0          |            0            |       17.0      |        0         |
| 2020-03-22 |         188.0          |            0            |       12.0      |        0         |
| 2020-03-23 |         189.0          |            0            |       1.0       |        0         |
| 2020-03-24 |         191.0          |            0            |       2.0       |        0         |
| 2020-03-25 |         195.0          |            0            |       4.0       |        0         |
| 2020-03-26 |         208.0          |            0            |       13.0      |        0         |
| 2020-03-27 |         225.0          |            0            |       17.0      |        0         |
| 2020-03-28 |         235.0          |            0            |       10.0      |        0         |
| 2020-03-29 |         255.0          |            0            |       20.0      |        0         |
| 2020-03-30 |         266.0          |            0            |       11.0      |        0         |
| 2020-03-31 |         289.0          |            0            |       23.0      |        0         |
| 2020-04-01 |         317.0          |            0            |       28.0      |        0         |
| 2020-04-02 |         342.0          |            0            |       25.0      |        0         |
| 2020-04-03 |         417.0          |            0            |       75.0      |        0         |
| 2020-04-04 |         479.0          |            0            |       62.0      |        0         |
| 2020-04-05 |         556.0          |           1.0           |       77.0      |        0         |
| 2020-04-06 |         665.0          |           1.0           |      109.0      |       0.0        |
| 2020-04-07 |         739.0          |           1.0           |       74.0      |       0.0        |
| 2020-04-08 |         855.0          |           1.0           |      116.0      |       0.0        |
| 2020-04-09 |         910.0          |           1.0           |       55.0      |       0.0        |
| 2020-04-10 |         993.0          |           1.0           |       83.0      |       0.0        |
| 2020-04-11 |         1154.0         |           1.0           |      161.0      |       0.0        |
| 2020-04-12 |         1234.0         |           1.0           |       80.0      |       0.0        |
| 2020-04-13 |         1300.0         |           2.0           |       66.0      |       1.0        |
| 2020-04-14 |         1355.0         |           3.0           |       55.0      |       1.0        |
| 2020-04-15 |         1405.0         |           3.0           |       50.0      |       0.0        |
| 2020-04-16 |         1524.0         |           3.0           |      119.0      |       0.0        |
| 2020-04-17 |         1658.0         |           5.0           |      134.0      |       2.0        |
| 2020-04-18 |         1751.0         |           6.0           |       93.0      |       1.0        |
| 2020-04-19 |         1915.0         |           7.0           |      164.0      |       1.0        |
| 2020-04-20 |         1995.0         |           9.0           |       80.0      |       2.0        |
| 2020-04-21 |         2080.0         |           11.0          |       85.0      |       2.0        |
| 2020-04-22 |         2248.0         |           13.0          |      168.0      |       2.0        |
| 2020-04-23 |         2399.0         |           14.0          |      151.0      |       1.0        |
| 2020-04-24 |         2614.0         |           15.0          |      215.0      |       1.0        |
| 2020-04-25 |         2892.0         |           19.0          |      278.0      |       4.0        |
| 2020-04-26 |         3075.0         |           20.0          |      183.0      |       1.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
